abandon,abandoned,abandoned,ละทิ้ง
abash,abashed,abashed,ทำให้อาย
abate,abated,abated,ทำให้น้อยลง
abbreviate,abbreviated,abbreviated,ตัดทอน
abdicate,abdicated,abdicated,ทำให้ถอนตัว
abide,abode,abode,ยึดถือ
absorb,absorbed,absorbed,ดูดซึม; ทำให้สนใจ
accept,accepted,accepted,ยอมรับ
accompany,accompanied,accompanied,ร่วมกับ
ache,ached,ached,เจ็บปวด
achieve,achieved,achieved,สำเร็จบรรลุผล
acknowledge,acknowledged,acknowledged,ทราบ
acquire,acquired,acquired,ได้รับ
act,acted,acted,แสดง; กระทำ
add,added,added,บวก; เพิ่ม
address,addressed,addressed,พูดกับ; จ่าหน้าซองถึง
adjust,adjusted,adjusted,ปรับ; แก้ไข
admire,admired,admired,ชื่นชม
admit,admitted,admitted,ยอมรับ
adopt,adopted,adopted,นำมาใช้
adore,adored,adored,รัก; ชื่นชอบ
adorn,adorned,adorned,ประดับ
advise,advised,advised,แนะนำ
afford,afforded,afforded,สามารถหาได้
agonize,agonized,agonized,ทนทุกข์ทรมาน
agree,agreed,agreed,เห็นด้วย
alight,alit,alit,ลุก
allegorise (US),allegorised,allegorised,เปรียบเทียบ
allegorize,allegorized,allegorized,เปรียบเทียบ
allow,allowed,allowed,อนุญาต; ยอมรับ
am,was,been,เป็น; อยู่; คือ
animate,animated,animated,ทำให้มีชีวิต
announce,announced,announced,ประกาศ
answer,answered,answered,ตอบ
antagonise (UK),antagonised,antagonised,ทำให้ไม่ถูกกัน
antagonize (US),antagonized,antagonized,ทำให้ไม่ถูกกัน
apologise (UK),apologized,apologized,ขอโทษ
apologize (US),apologized,apologized,ขอโทษ
appear,appeared,appeared,ปรากฏ
applaud,applauded,applauded,ปรบมือ
apply,applied,applied,ประยุกต์ใช้
approach,approached,approached,เข้าใกล้
approve,approved,approved,อนุมัติ; เห็นด้วย
are,were,been,เป็น; อยู่; คือ
argue,argued,argued,โต้เถียง
arise,arose,arisen,เกิดขึ้น
arrange,arranged,arranged,จัดเตรียม
arrest,arrested,arrested,จับกุม
arrive,arrived,arrived,มาถึง ไปถึง
ask,asked,asked,สอบถาม
assert,asserted,asserted,ยืนยัน
assort,assorted,assorted,จำแนกประเภท
astonish,astonished,astonished,ทำให้ประหลาดใจ
attack,attacked,attacked,โจมตี
attend,attended,attended,เข้าร่วม
attract,attracted,attracted,ดึงดูด
audit,audited,audited,ตรวจสอบบัญชี
avoid,avoided,avoided,หลีกเลี่ยง
awake,awoke,awoken,ตื่น
back,backed,backed,กลับไป
backslide,backslide,backslide,ย้อนกลับ
bang,banged,banged,ตีอย่างแรง
banish,banished,banished,ขับไล่
bash,bashed,bashed,ตีอย่างแรง; วิจารณ์อย่างรุนแรง
bat,batted,batted,ตี
bead,beaded,beaded,ประดับด้วยสิ่งที่เป็นลูกกลมๆ
beam,beamed,beamed,ยิ้มกว้าง; แผ่รังสี
bear,bore,born,ทน
beat,beat,beat,ตี
beatify,beatified,beatified,ประสาทพร (พิธีที่ชาวคริสต์ทำให้คนเกิดหรือตาย)
beautify,beautified,beautified,ตกแต่ง; ทำให้สวยงาม
become,became,become,กลายเป็น
bed,bedded,bedded,ฝังลงไป
bedeck,bedecked,bedecked,ประดับ
befall,befell,befallen,เกิดขึ้น
beg,begged,begged,ขอ
beget,begot,begot/ begotten,ก่อให้เกิด
begin,began,begun,เริ่ม
behave,behaved,behaved,ประพฤติ
behead,beheaded,beheaded,ตัดหัว; ประหาร
behold,beheld,beheld,เห็น; ดู
bejewel,bejeweled,bejeweled,ประดับด้วยเพชรพลอย
belch,belched,belched,เรอ
believe,believed,believed,เชื่อ
bellow,bellowed,bellowed,ร้อง; แผดเสียง
belong,belonged,belonged,เป็นของ
belt,belted,belted,คาดเข็มขัด
bemuse,bemused,bemused,ทำให้ตะลึง
bend,bent,bent,หัก งอ
benumb,benumbed,benumbed,ทำให้หมดสติ
bequeath,bequeathed,bequeathed,ยกมรดกให้
bereave,bereaved,bereaved,ทำให้สูญเสีย
berth,berthed,berthed,เทียบเรือ
beseech,besought,besought,ขอความกรุณา
beset,beset,beset,โอบล้อมรอบด้าน
besiege,besieged,besieged,ล้อม
bestow,bestowed,bestowed,ประทาน; มอบ
bet,bet,bet,พนัน
betray,betrayed,betrayed,ทรยศ
betroth,betrothed,betrothed,หมั้น
better,bettered,bettered,ทำให้ดีขึ้น
bevel,beveled/ bevelled,beveled/ bevelled,เอียง
bewitch,bewitched,bewitched,ทำให้หลงเสน่ห์
bid,bid,bid/ bidden,ประมูล
bind,bound,bound,ผูกติดกัน
bite,bit,bitten,กัด
bleat,bleated,bleated,พร่ำบ่น
bleed,bled,bled,เลือดออก
bless,blessed,blessed,อวยพร
blossom,blossomed,blossomed,ออกดอก
blow,blew,blown,เป่า
blur,blurred,blurred,ทำให้คลุมเคลือ; ทำให้ไม่ชัดเจน
blush,blushed,blushed,หน้าแดง; เขินอาย
board,boarded,boarded,ขึ้นยานพาหนะ
boast,boasted,boasted,โม้; โอ้อวด
boil,boiled,boiled,ต้ม; ทำให้เดือด
book,booked,booked,จอง
borrow,borrowed,borrowed,ยืม
bow,bowed,bowed,คำนับ
box,boxed,boxed,ใส่กล่อง
brainwash,brainwashed,brainwashed,ล้างสมอง
bray,brayed,brayed,คุย; เป่าแตร
break,broke,broken,แตก; หัก
breathe,breathed,breathed,หายใจ
breed,bred,bred,ผสมพันธ์ุ
bring,brought,brought,นำมา
broadcast,broadcast,broadcast,ออกอากาศ
browbeat,browbeat,browbeaten,รังแก
brush,brushed,brushed,แปรง; ปัด
build,built,built,สร้าง
burn,burnt,burnt,เผา
burst,burst,burst,ระเบิดออก
bury,buried,buried,ฝัง
bust,bust,bust,(ทำให้) แตกออก;ล้มละลาย;ล้มลง;จับกุม
buy,bought,bought,ซื้อ
buzz,buzzed,buzzed,เสียงกริ่ง; เสียงผึ้ง
calculate,calculated,calculated,คาดการณ์; คำนวณ
call,called,called,เรียก; โทรหา
canvass,canvassed,canvassed,ไต่ถาม; ตรวจตรา
capture,captured,captured,จับกุม
care,cared,cared,ดูแล
caress,caressed,caressed,ลูบไล้
carry,carried,carried,ถือ; ดำเนินการ
carve,carved,carved,แกะสลัก; ตัด
cash,cashed,cashed,ขึ้นเงินสด; จ่ายเงินสด
cast,cast,cast,หล่อเหล็ก
catch,caught,caught,จับ
categorise,categorised,categorised,จำแนกประเภท
categorize,categorized,categorized,จำแนกประเภท
cause,caused,caused,ทำให้เกิด
cease,ceased,ceased,สิ้นสุด
celebrate,celebrated,celebrated,เฉลิมฉลอง
challenge,challenged,challenged,ท้าทาย
change,changed,changed,เปลี่ยน
charge,charged,charged,กล่าวหา
chase,chased,chased,ไล่จับ
chat,chatted,chatted,พูดคุย
cheat,cheated,cheated,โกง
check,checked,checked,ตรวจสอบ
cheer,cheered,cheered,ทำให้มีกำลังใจ
chew,chewed,chewed,เคี้ยว
chide,chid,chided,ตะเพิด
chip,chipped,chipped,ตัดออก
choke,choked,choked,สำลัก
choose,chose,chosen,เลือก
classify,classified,classified,จำแนก
clean,cleaned,cleaned,ทำความสะอาด
cleave,cleaved,cleaved,ทำให้แยกออก; กระจาย
click,clicked,clicked,คลิก; ดีดนิ้ว
climb,climbed,climbed,ปีน
cling,clung,clung,พิง
close,closed,closed,ปิด
clothe,clad,clad,ตกแต่ง; แต่งตัว
clutch,clutched,clutched,คว้า; ฉวย
collapse,collapsed,collapsed,พังทลาย
collect,collected,collected,สะสม
colour,coloured,coloured,ทาสี; ระบายสี
come,came,come,มา
comment,commented,commented,แสดงความคิดเห็น
compare,compared,compared,เปรียบเทียบ
compel,compelled,compelled,บังคับ
compete,competed,competed,แข่งขัน
complain,complained,complained,กล่าวหา; บ่น
complete,completed,completed,ทำเสร็จ
conclude,concluded,concluded,สรุป
condole,condoled,condoled,แสดงความเสียใจ
conduct,conducted,conducted,ดำเนิน; ปฏิบัติ
confess,confessed,confessed,สารภาพ
confine,confined,confined,กักขัง; จำกัด
confiscate,confiscated,confiscated,ยึดทรัพย์
confuse,confused,confused,สับสน
congratulate,congratulated,congratulated,แสดงความยินดี
connect,connected,connected,เชื่อมต่อ
connote,connoted,connoted,อธิบาย; มีความหมายว่า
conquer,conquered,conquered,เอาชนะ
consecrate,consecrated,consecrated,อุทิศตนให้กับ
consent,consented,consented,ยอมรับ
conserve,conserved,conserved,ทำให้ปลอดภัย
consider,considered,considered,พิจารณา
consign,consigned,consigned,ส่งมอบ
consist,consisted,consisted,ประกอบด้วย
console,consoled,consoled,ปลอบใจ
consort,consorted,consorted,สัมพันธ์กัน; คบหาด้วย
conspire,conspired,conspired,สมรู้ร่วมคิด
constitute,constituted,constituted,บัญญัติขึ้น; ประกอบด้วย
constrain,constrained,constrained,บีบบังคับ
construct,constructed,constructed,สร้าง
construe,construed,construed,วิเคราะห์
consult,consulted,consulted,ปรึกษา
contain,contained,contained,บรรจุ
contemn,contemned,contemned,ดูถูก
contend,contended,contended,ต่อสู้; ยืนยัน
contest,contested,contested,แข่งขัน
continue,continued,continued,ดำเนินต่อไป
contract,contracted,contracted,ทำสัญญา
contradict,contradicted,contradicted,โต้แย้ง
contrast,contrasted,contrasted,ขัดแย้ง
contribute,contributed,contributed,ช่วยเหลือ; สนับสนุน
contrive,contrived,contrived,วางแผน
control,controlled,controlled,ควบคุม
convene,convened,convened,ประชุม
converge,converged,converged,บรรจบกัน
converse,conversed,conversed,สนทนา
convert,converted,converted,เปลี่ยน
convey,conveyed,conveyed,ถ่ายทอด
convict,convicted,convicted,ลงโทษ; ตัดสินว่าผิด
convince,convinced,convinced,โน้มน้าว
coo,cooed,cooed,กระซิบ
cook,cooked,cooked,ทำอาหาร
cool,cooled,cooled,ทำให้เย็น
co-operate,co-operated,co-operated,ร่วมมือ
cope,coped,cope,รับมือได้
copy,copied,copied,คัดลอก
correct,corrected,corrected,แก้
correspond,corresponded,corresponded,สอดคล้องกัน
corrode,corroded,corroded,กัดกร่อน
corrupt,corrupted,corrupted,ทุจริต; เน่าเปื่อย
cost,cost,cost,มีราคา
cough,coughed,coughed,ไอ
counsel,counselled,counselled,ให้คำปรึกษา
count,counted,counted,นับ
course,coursed,coursed,ติดตาม
cover,covered,covered,ปกป้อง; ทำงานแทน
cower,cowered,cowered,ตื่นกลัว
crack,cracked,cracked,ทำให้แตกร้าว
crackle,crackled,crackled,เสียงประทุ
crash,crashed,crashed,ชนอย่างแรง
crave,craved,craved,ปรารถนา
create,created,created,สร้าง
creep,crept,crept,คืบคลาน
crib,cribbed,cribbed,กักขัง
cross,crossed,crossed,ข้าม; ขัดขวาง
crossbreed,crossbred,crossbred,เอาพันธุ์ต่างชนิดมาผสมกัน
crow,crew,crowed,คุยโม้; ร้อง
crowd,crowded,crowded,ชุมนุม; กดดัน
crush,crushed,crushed,บดขยี้
cry,cried,cried,ร้องไห้
curb,curbed,curbed,ควบคุม
cure,cured,cured,รักษา
curve,curved,curved,ทำให้โค้ง
cut,cut,cut,ตัด
cycle,cycled,cycled,ขี่จักรยาน; หมุนรอบ
damage,damaged,damaged,ได้รับความเสียหาย
damp,damped,damped,ทำให้ชื้น
dance,danced,danced,เต้นรำ
dare,dared,dared,กล้า ท้าทาย
dash,dashed,dashed,ทำลาย; ชนอย่างรุนแรง
dazzle,dazzled,dazzled,ส่งแสงพร่า
deal,dealt,dealt,จัดการ
debate,debated,debated,อภิปราย โต้วาที
decay,decayed,decayed,ย่อยสลาย
decide,decided,decided,ตัดสิน
declare,declared,declared,ประกาศ
decline,declined,declined,ปฎิเสธ; ลดลง
decorate,decorated,decorated,ตกแต่ง
decrease,decreased,decreased,ลดลง
dedicate,dedicated,dedicated,อุทิศ
deduct,deducted,deducted,หัก
defeat,defeated,defeated,พ่ายแพ้
delay,delayed,delayed,ล่าช้า
delete,deleted,deleted,ลบ
delineate,delineated,delineated,วาดภาพ
deliver,delivered,delivered,ส่ง
demonstrate,demonstrated,demonstrated,สาธิต
deny,denied,denied,ปฏิเสธ
depend,depended,depended,ขึ้นอยู่กับ
deprive,deprived,deprived,ตัดสิทธิ์; ถอดถอน
derive,derived,derived,ได้รับมาจาก
describe,described,described,อธิบาย
desire,desired,desired,ต้องการ
destroy,destroyed,destroyed,ทำลาย
detach,detached,detached,แยกออก
detect,detected,detected,ตรวจจับ
determine,determined,determined,กำหนด
develop,developed,developed,พัฒนา
die,died,died,ตาย
differ,differed,differed,แตกต่าง
dig,dug,dug,ขุด
digest,digested,digested,ย่อยอาหาร; จำแนก
dim,dimmed,dimmed,สลัว; ริบหรี่
diminish,diminished,diminished,ลดน้อยลง; เบาบาง
dine,dined,dined,ทานอาหารเย็น; เลี้ยง
dip,dipped,dipped,จุ่ม; จมลง
direct,directed,directed,โดยตรง; นำ
disappear,disappeared,disappeared,หาย; สาบสูญ
discover,discovered,discovered,ค้นพบ; เปิด
discuss,discussed,discussed,สนธนา; หารือ
disgorge,disgorged,disgorged,คาย; พ่น
disobey,disobeyed,disobeyed,ไม่เชื่อฟัง; ฝ่าฝืน
display,displayed,displayed,แสดง
dispose,disposed,disposed,กำจัด; จำกัด
distribute,distributed,distributed,แจกจ่าย; จำหน่าย
disturb,disturbed,disturbed,รบกวน
disuse,disused,disused,เลิกใช้
dive,dove,dived,ดำน้ำ
divide,divided,divided,แบ่ง; หาร
do,did,done,ทำ
document,documented,documented,ใช้เอกสารประกอบ
dodder,doddered,doddered,สั่น
dodge,dodged,dodged,หลบ
dogmatise,dogmatised,dogmatised,พูดอย่างดื้อรั้น
dogmatize,dogmatized,dogmatized,พูดอย่างดื้อรั้น
dole,doled,doled,บริจาคเพื่อการกุศล
domesticate,domesticated,domesticated,ทำให้เชื่อง
dominate,dominated,dominated,ครอบงำ
don,doned,doned,สวม
donate,donated,donated,บริจาค
dope,doped,doped,เจือสาร; กระตุ้นด้วยยากระตุ้น
dot,doted,doted,จุด
dote,doted,doted,หลงใหล; ให้ความรักมากเกินไป
double,doubled,doubled,ทำเป็นสองเท่า
doubt,doubted,doubted,สงสัย
download,downloaded,downloaded,ดาวน์โหลด
doze,dozed,dozed,เคลิ้ม
drag,dragged,dragged,ลาก; ดึง
draw,drew,drawn,วาด; ถอนเงิน
dread,dreaded,dreaded,กลัว; กลัวมาก
dream,dreamt,dreamt,ฝัน
dress,dressed,dressed,แต่งตัว; ตกแต่ง
drill,drilled,drilled,เจาะ; ฝึกฝน
drink,drank,drunk,ดื่ม
drive,drove,driven,ขับรถ
drop,dropped,dropped,แวะ; ตก
dry,dried,dried,แห้ง; ตาก
dump,dumped,dumped,เท; ทิ้ง
dwell,dwelt,dwelt,อาศัยอยู่
dye,dyed,dyed,ย้อมสี
earn,earned,earned,ได้รับ
eat,ate,eaten,กิน
educate,educated,educated,สอน
elaborate,elaborated,elaborated,ทำอย่างละเอียด
empower,empowered,empowered,มอบอำนาจ; อนุญาติ
empty,emptied,emptied,ทำให้ว่างเปล่า
encircle,encircled,encircled,ล้อมรอบ
enclose,enclosed,enclosed,ล้อมรอบ; ใส่; ห่อหุ้ม
encompass,encompassed,encompassed,ห้อมล้อม
encounter,encountered,encountered,พบ เผชิญหน้า
encourage,encouraged,encouraged,ส่งเสริม; ให้กำลังใจ
encroach,encroached,encroached,บุกรุก
end,ended,ended,จบ
endanger,endangered,endangered,ทำให้เกิดอันตราย
endorse,endorsed,endorsed,รับรอง
endow,endowed,endowed,บริจาค
endure,endured,endured,มานะอดทน
engrave,engraved,engraved,แกะสลัก; ฝัง
enjoy,enjoyed,enjoyed,สนุก
enlarge,enlarged,enlarged,ขยาย; เพิ่ม
enlighten,enlightened,enlightened,ให้ความรู้; ทำให้เกิดแสง
enroll,enrolled,enrolled,ลงทะเบียน
enter,entered,entered,เข้าไป
entertain,entertained,entertained,จบ
entreat,entreated,entreated,วิงวอน; อ้อนวอน
enucleate,enucleated,enucleated,เจาะ
envy,envied,envied,อิจฉา
erase,erased,erased,ลบ; ขีดฆ่า
escape,escaped,escaped,หนี; หลีกเลี่ยง
evaporate,evaporated,evaporated,ระเหย; จางหาย
exchange,exchanged,exchanged,แลกเปลี่ยน
exclaim,exclaimed,exclaimed,อุทาน; ตะโกน
exclude,excluded,excluded,แยกออก; ไล่ออก
exist,existed,existed,ดำรงอยู่; คงไว้
expand,expanded,expanded,ขยาย; เพิ่ม
expect,expected,expected,คาดหวัง; คาดคิด
explain,explained,explained,อธิบาย
explore,explored,explored,สำรวจ
export,exported,exported,ส่งออก
express,expressed,expressed,แสดง; บอก
extend,extended,extended,ขยาย; ต่อ
eye,eyed,eyed,มอง; จ้อง
fabricate,fabricated,fabricated,ประดิษฐ์
face,faced,faced,เผชิญหน้า; ฉาบ
fail,failed,failed,ล้มเหลว
faint,fainted,fainted,เป็นลม; หน้ามืด
fall,fell,fallen,ร่วง; ล้ม
fan,fanned,fanned,พัด; กระพือ
fancy,fancied,fancied,เพ้อฝัน; ชอบ; ต้องการ
favour,favoured,favoured,โปรดปราน; สนับสนุน
fax,faxed,faxed,โทรสาร
fear,feared,feared,กลัว
feather,feathered,feathered,ปกคลุมด้วยขนนก
feed,fed,fed,ให้อาหารสัตว์
feel,felt,felt,รู้สึก
ferry,ferried,ferried,ส่งข้ามฟาก
fetch,fetched,fetched,ตัก; ทำให้; รับมา
fidget,fidgeted,fidgeted,อยู่ไม่สุข
fight,fought,fought,ต่อสู้
fill,filled,filled,ใส่; บรรจุ; สอดไส้
find,found,found,พบ
finish,finished,finished,เสร็จ
fish,fished,fished,จับปลา; ค้นหา
fit,fit,fit,พอเหมาะ
fix,fixed,fixed,ซ่อม
fizz,fizzed,fizzed,เดือดเป็นฟองดังฟู
flap,flapped,flapped,กระพือ; สะบัด
flash,flashed,flashed,ส่องแสง; เกิดขึ้นอย่างรวดเร็ว
flee,fled,fled,หลบหนี
fling,flung,flung,เขวี้ยง
float,floated,floated,ลอย; ดำเนินการ
flop,flopped,flopped,ล้ม; เดินโงนเงน
fly,flew,flown,บิน
fold,folded,folded,พับ; ห่อ
follow,followed,followed,ติดตาม; ปฏิบัติตาม
forbid,forbade,forbidden,ห้าม
force,forced,forced,บังคับ; ฝืน; บีบ
forecast,forecast,forecast,พยากรณ์
forego,forewent,foregone,ยอม; ไม่เอา
foresee,foresaw,foreseen,คาด
foretell,foretold,foretold,พยากรณ์; คาดการณ์
forget,forgot,forgotten,ลืม
forgive,forgave,forgiven,ให้อภัย
forlese,forlore,forlorn,ทำลาย; ละทิ้ง
form,formed,formed,สร้าง; ก่อตัว
forsake,forsook,forsaken,สละ; ละทิ้ง
forward,forwarded,forwarded,ส่งต่อ
found,founded,founded,ก่อตั้ง; สถาปนา
frame,framed,framed,กำหนด; ทำกรอบ; ประกอบ
free,freed,freed,พ้น; ว่างเว้น; เปิดเผย
freeze,froze,frozen,หยุด; เป็นน้ำแข็ง
frighten,frightened,frightened,ขู่; ทำให้ตกใจ
fry,fried,fried,ทอด
fulfil,fulfilled,fulfilled,เติมเต็ม; บรรลุเป้าหมาย
gag,gagged,gagged,ปิดปาก; อุดปาก
gain,gained,gained,ได้มา; ได้กำไร; ชนะ
gainsay,gainsaid,gainsaid,คัดค้าน; ต่อต้าน
gash,gashed,gashed,บั่น; ทำให้เป็นแผลตัดยาวลึก
gaze,gazed,gazed,จ้องมอง; เพ่ง
get,got,gotten,ได้
give,gave,given,ให้
glance,glanced,glanced,ชำเลือง; ชายตามอง
glitter,glittered,glittered,มันวาว; ส่องแสงระยิบระยับ
glow,glowed,glowed,เรืองแสง; เปล่งแสง
go,went,gone,ไป
google,googled,googled,ค้นหาในเว็บ google
govern,governed,governed,ปกครอง; ดูแล; ครอบงำ
grab,grabbed,grabbed,คว้า; จับ; ฉกฉวย
grade,graded,graded,ให้คะแนน; จัดลำดับ
grant,granted,granted,มอบให้; ยินยอม; อนุญาต
greet,greeted,greeted,ทักทาย
grind,ground,ground,บด
grip,gripped,gripped,กำ; คีบ
grow,grew,grown,เจริญงอกงาม
guard,guarded,guarded,ป้องกัน; เฝ้าระวัง
